Heading,Summary,Link,PostedBy,PostedOnDate
Cyrus Mistry has no plans to quit as Chairman of Tata Group companies,"Digging in his heels after being ousted as Chairman of Tata Sons, Cyrus Mistry plans to continue in his current role at Tata group firms, including Tata Steel, TCS and Tata Motors, where he is Chairman.",http://www.financialexpress.com/industry/companies/cyrus-mistry-has-no-plans-to-quit-as-chairman-of-tata-group-companies/437580/,PTI ," November 3, 2016 5:13 PM"
Reliance Jio charges Bharti Airtel of violating licence pact,Billionaire Mukesh Ambani-led Reliance Jio today slammed market leader Bharti Airtel for providing only one-way points of interconnects for completing calls rather than both-way nodes in violation of licence agreement.,http://www.financialexpress.com/industry/companies/reliance-jio-charges-bharti-airtel-of-violating-licence-pact/437793/,PTI ," November 3, 2016 9:31 PM"
Banks can raise funds overseas via masala bonds: RBI,The Reserve Bank today allowed banks to raise funds by floating rupee-denominated bonds in overseas market as part of an additional avenue to raise long-term funds.,http://www.financialexpress.com/industry/banking-finance/banks-can-raise-funds-overseas-via-masala-bonds-rbi/437738/,PTI ," November 3, 2016 8:20 PM"
"Corporate Debt Restructuring: From 2001, Rs 1.1 lakh crore loan recasts failed","Recast of aggregate loan worth R1,10,772 crore has failed since the corporate debt restructuring (CDR) cell was set up in 2001.",http://www.financialexpress.com/industry/companies/corporate-debt-restructuring-from-2001-rs-1-1-lakh-crore-loan-recasts-failed/437894/,Shayan Ghosh ," November 4, 2016 6:08 AM"
ARRIS opens R&D and operations centre in Bengaluru,"The centre promotes collaboration, efficient development of advanced broadband and video solutions for the next generation of services including, gigabit broadband, 4K TV and Wi-Fi, a company statement said. ",http://www.financialexpress.com/industry/companies/arris-opens-rd-and-operations-centre-in-bengaluru/437447/,PTI ," November 3, 2016 2:26 PM"
Air India Engineering Services eyes Rs 200 crore revenues next fiscal,"Pinning hopes on getting more work orders from private airlines and increased capacity, Air India Engineering Services Ltd (AIESL) expects to rake in Rs 200 crore revenues in the next financial year.",http://www.financialexpress.com/industry/companies/air-india-engineering-services-eyes-rs-200-crore-revenues-next-fiscal/437720/,PTI ," November 3, 2016 7:43 PM"
Tata Motors inks pact with Indonesian entity for defence business,Tata Motors has inked a pact with Indonesia’s state-owned enterprise PT Pindad to explore market potential of Tata-armoured vehicles in Indonesia and other agreed regions of Asean.,http://www.financialexpress.com/industry/companies/tata-motors-inks-pact-with-indonesian-entity-for-defence-business/437686/,PTI ," November 3, 2016 7:25 PM"
Google attacks EU case that ‘doesn’t fit the reality’,Google poured scorn on European Union allegations it skewed shopping search results to favor its own services and said regulators have failed to see that the search-engine giant is competing head on with e-commerce giants Amazon.com Inc. and EBay Inc.,http://www.financialexpress.com/companies/google-attacks-eu-case-that-doesnt-fit-the-reality/437841/,Reuters ," November 3, 2016 10:50 PM"
"After SBI, ICICI cut its home loan rates by 15 bps","After SBI, ICICI on Thursday cut its home loan rates by 15 bps from November. ",http://www.financialexpress.com/industry/banking-finance/after-sbi-icici-cut-its-home-loan-rates-by-15-bps/437508/,FE Online ," November 3, 2016 4:14 PM"
American Axle’s $1.6 bln Metaldyne buy to help grow beyond GM,"Shares of Detroit-based American Axle, which was spun off from GM in 1994, fell 17.6 percent to close at $13.68. Southfield, Michigan-based Metaldyne’s shares rose 34.3 percent to $19.20.",http://www.financialexpress.com/industry/companies/american-axles-1-6-bln-metaldyne-buy-to-help-grow-beyond-gm/437975/,Reuters ," November 4, 2016 5:56 AM"
Jindal Steel & Power misses interest payments for third time,"Jindal Steel & Power Ltd., India’s second-most indebted mill, said that it missed payment on interest due last month on some bonds, the third lapse since September.",http://www.financialexpress.com/industry/companies/jindal-steel-power-misses-interest-payments-for-third-time/437311/,Bloomberg ," November 3, 2016 12:13 PM"
Mobikwik tie-up to launch ‘E-Cash Payments’ for tatkal bookings,India’s largest independent payments company MobiKwik has announced its partnership with Indian Railway Catering and Tourism Corporation (IRCTC) for tatkal bookings with a much higher success rate than other modes of online payment.,http://www.financialexpress.com/industry/companies/mobikwik-tie-up-to-launch-e-cash-payments-for-tatkal-bookings/437437/,ANI ," November 3, 2016 2:19 PM"
Mphasis Q2 net profit climbs 10.4% to Rs 210.7 crore,IT company Mphasis today posted a 10.4 per cent rise in consolidated net profit at Rs 210.7 crore for the second quarter ended September 2016.,http://www.financialexpress.com/companies/mphasis-q2-net-profit-climbs-10-4-to-rs-210-7-crore/437819/,PTI ," November 3, 2016 10:12 PM"
"BP, Rosneft’s petrol pumps may put pressure on giants like IOC, BPCL","Global oil majors BP Plc and Rosneft PJSC are eyeing a piece of India’s $117 billion retail market for fossil fuels, threatening to shake up government-owned companies that have faced little competition for a decade.",http://www.financialexpress.com/industry/companies/bp-rosnefts-petrol-pumps-may-put-pressure-on-giants-like-ioc-bpcl/437323/,Bloomberg ," November 3, 2016 12:23 PM"
"Why Reliance Jio is not an immediate threat to Bharti Airtel, Vodafone and Idea Cellular","When Mukesh Ambani-owned Reliance Jio launched mobile services starting 3 September, offering free voice for ever and free data for three months, it was believed that the real losers will be the incumbents – Bharti Airtel, Vodafone and Idea Cellular. ",http://www.financialexpress.com/industry/companies/why-reliance-jio-is-not-an-immediate-threat-to-bharti-airtel-vodafone-and-idea-cellular/437696/,Anup Jayaram ," November 4, 2016 7:12 AM"
HDFC cut home loan rate by 0.15 per cent,"Joining the rate cut war, biggest mortgage firm HDFC and private sector lender ICICI Bank today cut home loan rates by 0.15 per cent, a move that may be followed by other lenders.",http://www.financialexpress.com/industry/banking-finance/hdfc-cut-home-loan-rate-by-0-15-per-cent/437770/,PTI ," November 3, 2016 10:17 PM"
Zain to pay Bharti Airtel $129 million in Africa business sale settlement,"Zain, Kuwait’s No.1 telecom operator by subscribers, on Thursday said it will pay $129 million to Bharti Airtel over a settlement related to the sale of Zain’s Africa operations to the Indian firm in 2010.",http://www.financialexpress.com/industry/companies/zain-to-pay-bharti-airtel-129-million-in-africa-business-sale-settlement/437425/,Reuters ," November 3, 2016 2:00 PM"
"After tech glitch, adamant pilots, Jet Airways flights back to normal","Some flights from the National Capital, Mumbai and other places were cancelled. Sources said some issues with the airline’s crew optimiser software, used for rostering, resulted in disruptions of flight schedules and a few cancellations.",http://www.financialexpress.com/industry/companies/after-tech-glitch-adamant-pilots-jet-airways-flights-back-to-normal/436897/,FE Online ," November 2, 2016 11:38 PM"
Broadcom buying Brocade Communications in $5.5B deal,Brocade CEO Lloyd Carney said the company will work with Broadcom to try to find a buyer for the IP Networking business.,http://www.financialexpress.com/industry/companies/broadcom-buying-brocade-communications-in-5-5b-deal/437110/,Associated Press ," November 3, 2016 6:10 AM"
Met all legal norms for Mundra Ultra Mega Power Project: Tata Power,"Amid Tata-Mistry row, Tata Power today said it has discharged all legal and fiduciary obligations in connection with its Mundra Ultra Mega Power Project (UMPP).",http://www.financialexpress.com/industry/companies/met-all-legal-norms-for-mundra-ultra-mega-power-project-tata-power/436639/,PTI ," November 2, 2016 4:37 PM"
"Stockmann, Tech Mahindra ink pact for ICT solutions","Stockmann Plc, a Finland-based company engaged in retail, today said it has signed a five-year cooperation agreement with Tech Mahindra to produce part of the firm’s ICT services.",http://www.financialexpress.com/industry/companies/stockmann-tech-mahindra-ink-pact-for-ict-solutions/436732/,PTI ," November 2, 2016 5:59 PM"
4.5 million MTNL customers in Mumbai can now go cashless with Freecharge,India’s fastest growing digital payments platform Freecharge has partnered with MTNL to provide a swift and secure way to make cashless payments for MTNL bills in Mumbai.,http://www.financialexpress.com/industry/companies/4-5-million-mtnl-customers-in-mumbai-can-now-go-cashless-with-freecharge/436698/,ANI ," November 2, 2016 5:39 PM"
Nokia completes Alcatel-Lucent acquisition,"In 2013 it bought 50 percent of its network activities from Germany’s Siemens, and the following year it divested from its previously world-leading mobile phone business.",http://www.financialexpress.com/industry/companies/nokia-completes-alcatel-lucent-acquisition/437088/,AFP ," November 3, 2016 5:23 AM"
Google discovered these security bugs in Windows; Microsoft angry but users at risk,"Google notified Microsoft of a zero-day vulnerability in Windows and just 10 days later, the information was given to the public.",http://www.financialexpress.com/industry/tech/google-discovered-these-security-bugs-in-windows-microsoft-angry-but-users-at-risk/437201/,Sumit Chakraborty ," November 3, 2016 11:55 AM"
GAIL scraps multi-billion dollar ships tender,"With the tender finding few takers, the company now looks to charter vessels for shorter duration ",http://www.financialexpress.com/industry/companies/gail-scraps-multi-billion-dollar-ships-tender/437075/,Siddhartha P Saikia ," November 3, 2016 6:44 AM"
Alstom-Bombardier sole bidder for $3.3 bln French train contract,"France’s Alstom, which in September threatened to cut jobs at one of its manufacturing plants due to a lack of orders, is bidding for the contract with Canada’s Bombardier. No other firms were vying for the tender.",http://www.financialexpress.com/industry/companies/alstom-bombardier-sole-bidder-for-3-3-bln-french-train-contract/437089/,Reuters ," November 3, 2016 5:47 AM"
"Marvell Technology to cut 900 jobs, sell assets",The company expects to complete the restructuring by end of October next year and bring down costs to $820-$840 million annually from $1.08 billion.,http://www.financialexpress.com/industry/companies/marvell-technology-to-cut-900-jobs-sell-assets/437125/,Reuters ," November 3, 2016 6:44 AM"
Setting up a manufacturing facility in Amravati as part of Make in India campaign: Raymonds,Raymonds on Thursday said that it is setting up a manufacturing facility in Amravati as a part of ‘Make in India’ campaign. ,http://www.financialexpress.com/industry/companies/setting-up-a-manufacturing-facility-in-amravati-as-part-of-make-in-india-campaign-raymonds/437290/,FE Online ," November 3, 2016 12:07 PM"
"Microsoft launches messaging system for businesses, takes on Slack","The new software will be part of Microsoft’s Office 365 services, a cloud-based software suite that has more than 85 million monthly active commercial users.",http://www.financialexpress.com/industry/tech/microsoft-launches-messaging-system-for-businesses-takes-on-slack/436995/,Reuters ," November 3, 2016 2:00 AM"
OROP suicide: P Chidambaram seeks Delhi police commissioner’s removal,"“Home Minister should remove the Police Commissioner. If he is powerless to do so, he should tender his resignation,” the senior congress leader said in a tweet. He also critisied the police commissioner for the handling of the situation.",http://www.financialexpress.com/industry/orop-suicide-p-chidambaram-seeks-delhi-police-commissioners-removal/437033/,PTI ," November 3, 2016 4:16 AM"
Google Daydream VR teams up with ‘Fantastic Beasts and Where to find them’; to be launched on November 10,Google on Tuesday announced that the Daydream View VR headset would go for sales on the Google Store from November 10.,http://www.financialexpress.com/industry/tech/google-daydream-vr-teams-up-with-fantastic-beasts-and-where-to-find-them-to-be-launched-on-november-10/436623/,FE Online ," November 2, 2016 5:29 PM"
"After huge profit, Facebook warns growth will slow, shares dip","In a call with analysts, Facebook Chief Financial Officer David Wehner said ad growth would likely slow “meaningfully” due to limits on “ad load,” or the number of ads that Facebook can put in front of customers without alienating them.",http://www.financialexpress.com/industry/tech/after-huge-profit-facebook-warns-growth-will-slow-shares-dip/437132/,Reuters ," November 3, 2016 6:39 AM"
Why the US needs India’s rockets,PSLV is unique and it was designed to launch small satellites. And that’s a good niche to occupy at the moment.,http://www.financialexpress.com/industry/tech/why-the-us-needs-indias-rockets/437225/,Bloomberg ," November 3, 2016 10:48 AM"
Volkswagen board to discuss brand overhaul on Nov 4: Sources,Management and labour leaders are currently seeking to reach agreement on cost cuts and strategy in time for a Nov. 18 meeting of the supervisory board to ratify spending targets across the group for the coming years.,http://www.financialexpress.com/industry/companies/volkswagen-board-to-discuss-brand-overhaul-on-nov-4-sources/437062/,Reuters ," November 3, 2016 5:08 AM"
Air India mulls leasing Dorniers to boost regional services,Flag carrier Air India is mulling leasing ten Dornier aircraft from Hindustan Aeronautics Ltd to boost its regional operations as the government looks to make flying more affordable under the ambitious UDAN scheme.,http://www.financialexpress.com/industry/companies/air-india-mulls-leasing-dorniers-to-boost-regional-services/436641/,PTI ," November 2, 2016 4:48 PM"
Laxmikant Parsekar asks teachers to speak in favour of educational projects,"After facing opposition for IIT campus at Loliem village in South Goa, state Chief Minister Laxmikant Parsekar has now appealed the teachers to speak out in favour of such educational projects.",http://www.financialexpress.com/industry/jobs/laxmikant-parsekar-asks-teachers-to-speak-in-favour-of-educational-projects/436682/,PTI ," November 2, 2016 5:18 PM"
Reliance Jio effect: Airtel CEO Gopal Vittal rules out free voice calls,"India’s largest mobile operator Bharti Airtel has indicated that entry of newcomer Reliance Jio could lead to lowering of prices to some extent, but ruled out across-the-board free voice calls for all mobile plans.",http://www.financialexpress.com/industry/companies/reliance-jio-effect-airtel-ceo-gopal-vittal-rules-out-free-voice-calls/436761/,PTI ," November 2, 2016 6:38 PM"
Twenty-First Century Fox quarterly revenue up 7.1 pct,The Rupert Murdoch-controlled company’s revenue increased to $6.51 billion in first quarter ended Sept. 30 from $6.08 billion a year earlier.,http://www.financialexpress.com/industry/companies/twenty-first-century-fox-quarterly-revenue-up-7-1-pct/437117/,Reuters ," November 3, 2016 6:18 AM"
Facebook reports 55.8 percent rise in revenue,"Mobile ad revenue accounted for 84 percent of Facebook’s total advertising revenue of $6.82 billion in the third quarter ended Sept. 30, compared with 78 percent a year earlier.",http://www.financialexpress.com/industry/companies/facebook-reports-55-8-percent-rise-in-revenue/437090/,Reuters ," November 3, 2016 5:45 AM"
Facebook announces Gameroom; Steam-like gaming for PCs,"Facebook just made a big push into PC gaming by launching Gameroom, an answer to Valve’s Steam platform. At the developer’s launch Facebook unveiled the gaming platform for Windows.",http://www.financialexpress.com/industry/tech/facebook-announces-gameroom-steam-like-gaming-for-pcs/436739/,Sumit Chakraborty ," November 2, 2016 6:30 PM"
LinkedIn inks MoU with government to create more jobs for students,Leading global professional network LinkedIn today said it has signed an agreement with the human resource development ministry to create more job opportunities for Indian students.,http://www.financialexpress.com/industry/jobs/linkedin-inks-mou-with-govt-to-create-more-jobs-for-students/436666/,PTI ," November 2, 2016 5:02 PM"
SBI cuts home loan rate; ICICI offers overdraft,"To cash in on the festive fervour, banks including SBI and ICICI have unveiled a host of benefits such as reduction in rates, waiver of processing fee and overdraft facility. ",http://www.financialexpress.com/industry/banking-finance/sbi-cuts-home-loan-rate-icici-offers-overdraft/436584/,PTI ," November 2, 2016 3:46 PM"
Reliance Industries plans to invest another Rs 1 Lakh crore for the enhancement of the Reliance Jio network,"The investment plans by the telecom group came following the last month anouncement by Vodafone Plc. to invest 7 billion dollar in Vodafone India and Bharti Airtel’s last years announcement of investing Rs 60,000 crore for its network enhancement.",http://www.financialexpress.com/industry/companies/reliance-industries-plans-to-invest-another-rs-1-lakh-crore-for-the-enhancement-of-the-reliance-jio-network/436646/,FE Online ," November 2, 2016 4:51 PM"
"To fightback private sector banks, SBI to hire 4 senior VPs",The post has been specifically created for lateral recruits and is aimed at countering the dominance of private sector banks in terms of visibility.,http://www.financialexpress.com/industry/companies/to-fightback-private-sector-banks-sbi-to-hire-4-senior-vps/437014/,Shayan Ghosh ," November 3, 2016 7:10 AM"
"More pain for Tata group as Ratan Tata, Cyrus Mistry trade charges","While the Tata Sons boardroom battle has not yet reached the courts, the two sides — Cyrus Mistry, who was ousted as chairman on October 24, and Tata Sons — continue to hit out at each other in the media.",http://www.financialexpress.com/industry/companies/more-pain-for-tata-group-as-ratan-tata-cyrus-mistry-trade-charges/436155/,FE Bureau ," November 2, 2016 6:07 AM"
Xiaomi Air Purifier Pro announced with OLED display and better features,"Xiaomi Air Purifier Pro: The Chinese tech giant is making inroads into the home appliance industry with a lot of products like air purifiers, television, routers, virtual reality headsets, drones etc.",http://www.financialexpress.com/industry/tech/xiaomi-air-purifier-pro-announced-oled-display-and-better-features/436296/,FE Online ," November 2, 2016 12:14 PM"
Twitter India head Rishi Jaitly quits after four years,"The head of Twitter India, Rishi Jaitly, has quit the microblogging portal after spending four years with the company. Jaitly posted his decision to resign through a tweet: “Today, after 4 years of user/business momentum in India & the region, I’m sharing my intention to move on to new opportunities, same mission.”",http://www.financialexpress.com/industry/companies/twitter-india-head-rishi-jaitly-quits-after-four-years/436126/,FE Bureau ," November 2, 2016 6:12 AM"
Lupin gets USFDA approval for generic Ortho-Cyclen tablets,Pharma major Lupin Ltd has received final approval from the USFDA to market norgestimate and ethinyl estradiol tablets marked for use by females of reproductive potential to prevent pregnancy.,http://www.financialexpress.com/industry/companies/lupin-gets-usfda-approval-for-generic-ortho-cyclen-tablets/435848/,PTI ," November 1, 2016 6:30 PM"
"Had a robust festive season in terms of sales, expect to start selling 400cc bikes soon: Bajaj Auto","Stating that Bajaj Auto had a robust festive season in terms of sales, the two wheeler maker on Wednesday said that benefits of new launches will reflect in Q4. ",http://www.financialexpress.com/industry/companies/had-a-robust-festive-season-in-terms-of-sales-expect-to-start-selling-400cc-bikes-soon-bajaj-auto/436351/,FE Online ," November 2, 2016 12:09 PM"
"Sequoia Capital, Accel invest $55 m in Freshdesk","Chennai-based SaaS (software as a service) start-up Freshdesk, the leading provider of cloud-based customer engagement software, on Tuesday announced a $55-million Series F funding round led by new investor Sequoia Capital India, along with existing investor Accel.",http://www.financialexpress.com/industry/companies/sequoia-capital-accel-invest-55-m-in-freshdesk/436122/,FE Bureau ," November 2, 2016 6:13 AM"
Lenovo Phab 2 Pro goes on sale; Google’s first Tango smartphone is augmented reality gaming at its best,"Lenovo Phab 2 Pro, has the software and hardware to use Google’s Tango AR technology. It is the first official Project Tango smartphone.",http://www.financialexpress.com/industry/tech/lenovo-phab-2-pro-goes-on-sale-googles-first-tango-smartphone-is-augmented-reality-gaming-at-its-best/436368/,FE Online ," November 2, 2016 1:16 PM"
"Arnab Goswami may turn entrepreneur, quits Times Now","Popular news anchor Arnab Goswami has resigned from his post of president, news and editor-in-chief of Times Now, ET Now and Magicbricks Now, after a decade-long stint with Times Network.",http://www.financialexpress.com/industry/companies/arnab-goswami-may-turn-entrepreneur-quits-times-now/436117/,FE Bureau ," November 2, 2016 9:38 AM"
Ratan Tata to form new group management structure within days: Source,"Ratan Tata, interim chairman of India’s Tata Sons conglomerate, will outline a revamped top management structure for the $100 billion group within days, a person close to the company told Reuters on Tuesday.",http://www.financialexpress.com/industry/companies/ratan-tata-to-form-new-group-management-structure-within-days-source/435963/,Reuters ," November 1, 2016 10:10 PM"
Cyrus Mistry’s removal was ‘necessary’ for future success: Ratan Tata,"As ousted Tata Group Chairman Cyrus Mistry stepped up attack, Ratan Tata today hit back saying his removal was “absolutely necessary” for the future success of the Tata Group.",http://www.financialexpress.com/industry/companies/cyrus-mistrys-removal-was-necessary-for-future-success-ratan-tata/435907/,PTI ," November 1, 2016 8:04 PM"
Microsoft says Russia-linked hackers exploiting Windows flaw,"The software maker said in an advisory on its website there had been a small number of attacks using “spear phishing” emails from a hacking group known Strontium, which is more widely known as “Fancy Bear” or APT 28.",http://www.financialexpress.com/industry/companies/microsoft-says-russia-linked-hackers-exploiting-windows-flaw/436119/,Reuters ," November 2, 2016 4:54 AM"
Harvard raises $1.2 billion but slow returns crimp budget,Harvard said it’s dependent on the endowment to subsidize its budget so it must slow spending when investment returns trail as they have in recent years.,http://www.financialexpress.com/industry/jobs/harvard-raises-1-2-billion-but-slow-returns-crimp-budget/436018/,Reuters ," November 2, 2016 12:42 AM"
McDonald’s reaches USD 3.75 mn settlement in labor case,"If approved by a federal judge, the agreement is the first time McDonald’s has reached a deal with employees of a franchise.",http://www.financialexpress.com/industry/companies/mcdonalds-reaches-usd-3-75-mn-settlement-in-labor-case/436012/,AFP ," November 2, 2016 12:01 AM"
"Reliance Jio impact bites, Bharti Airtel to cut rates further","Data saw a 13% sequential growth in volume, a 10% quarter-on-quarter growth in realisation and 10.6% jump in usage on a sequential basis.",http://www.financialexpress.com/industry/companies/reliance-jio-impact-bites-bharti-airtel-to-cut-rates-further/436159/,FE Bureau ," November 2, 2016 6:06 AM"
Indian university withdraws from plan to buy 2 US campuses,"But Education Management Corp. officials said Tuesday that Amity has withdrawn from the proposed sale. Anne Dean, a spokeswoman for the corporation, would not say why the deal fell through.",http://www.financialexpress.com/industry/jobs/indian-university-withdraws-from-plan-to-buy-2-us-campuses/436052/,Associated Press ," November 2, 2016 3:17 AM"
Festive season booster shot to push passenger vehicle sales by 12% in FY 17,"In the first six months of the financial year, the PV segment has already witnessed a growth of 12% at 14,94,039 units. Sales in India are poised to cross the 3 million units milestone this financial year ",http://www.financialexpress.com/industry/companies/festive-season-booster-shot-to-push-passenger-vehicle-sales-by-12-in-fy-17/436113/,FE Bureau ," November 2, 2016 6:15 AM"
"GSPC seeks partners for onshore blocks, gets Magna Energy, Essar Oil, Tata Petrodyne, others on board",State-owned oil and gas exploration firm Gujarat State Petroleum Corporation (GSPC) is seeking partners for nearly 20 onshore blocks.,http://www.financialexpress.com/industry/companies/gspc-seeks-partners-for-onshore-blocks-gets-magna-energy-essar-oil-tata-petrodyne-others-on-board/436111/,Siddhartha P Saikia ," November 2, 2016 8:43 AM"
ICICI Bank launches home loan overdraft facility for salaried customers,ICICI Bank Ltd has launched a credit facility against home loans for salaried customers.,http://www.financialexpress.com/industry/companies/icici-bank-launches-home-loan-overdraft-facility-for-salaried-customers/436416/,FE Online ," November 2, 2016 1:22 PM"
Google Chrome redesigned to be faster on Windows and easier to use on Android,Global tech giant Google is making concerted efforts to keep at the top and stay relevant by redesigning its Chrome browser for Android smartphones.,http://www.financialexpress.com/industry/tech/google-chrome-redesigned-to-be-faster-on-windows-and-easier-to-use-on-android/436507/,Sumit Chakraborty ," November 2, 2016 2:32 PM"
Dual power structure in Tata Group could be the new problem for businesses heads,Ratan Tata replaced Cyrus Mistry atop the holding company of India’s biggest conglomerate in a single board meeting.,http://www.financialexpress.com/industry/companies/dual-power-structure-in-tata-group-could-be-the-new-problem-for-businesses-heads/436406/,Bloomberg ," November 2, 2016 1:03 PM"
Tesla says SolarCity could provide $1b in revenue next year,"Tesla CEO Elon Musk, who is chairman of both companies, wants to combine them in an all-stock deal worth around $2.45 billion. ",http://www.financialexpress.com/industry/companies/tesla-says-solarcity-could-provide-1b-in-revenue-next-year/436053/,Associated Press ," November 2, 2016 3:21 AM"
Air India to resume Boeing 777 services on its New Delhi-London route,National carrier has resumed Boeing 777 services on its London’s route from here with the replacement of its Dreamliner B787-8 with B777-200 LR aircraft for one of its flights as part of the winter schedule operations.,http://www.financialexpress.com/industry/companies/air-india-to-resume-boeing-777-services-on-its-new-delhi-london-route/435924/,PTI ," November 1, 2016 8:55 PM"
"Mahindra sales up 1.21 per cent at 52,008 units in October","Auto major Mahindra & Mahindra today reported 1.21 per cent increase in total sales at 52,008 units in October. ",http://www.financialexpress.com/industry/companies/mahindra-sales-up-1-21-pc-at-52008-units-in-october/436531/,PTI ," November 2, 2016 2:58 PM"
"“FIFA” publisher EA hikes full-year revenue, profit forecast","Those games will face competition from Activision Blizzard Inc’s “Call of Duty: Infinite Warfare” and Ubisoft Entertainment SA’s “Watch Dogs 2”, which will be released in time for the holiday-shopping season.",http://www.financialexpress.com/industry/companies/fifa-publisher-ea-hikes-full-year-revenue-profit-forecast/436145/,Reuters ," November 2, 2016 5:56 AM"
Arnab Goswami resigns as Editor-in-Chief of Times Now: 10 Newshour debates that nation will never forget,The editor-in-chief of Times Now and ET Now Arnab Goswami today resigned from his position,http://www.financialexpress.com/industry/companies/arnab-goswami-resigns-as-editor-in-chief-of-times-now-10-newshour-debates-that-nation-will-never-forget/435864/,FE Online ," November 1, 2016 7:10 PM"
Broadcom nears deal to buy Brocade: sources,"Broadcom and Brocade declined to comment. While the companies are in advanced discussions, no deal is final and talks could still fall apart, the people cautioned.",http://www.financialexpress.com/industry/companies/broadcom-nears-deal-to-buy-brocade-sources/436120/,Reuters ," November 2, 2016 5:03 AM"
Godrej Properties sells over Rs 300 crore villas in Greater Noida,"Godrej Properties today said it has sold villas worth over Rs 300 crore on the first day of the launch of 100-acre township in Greater Noida, bucking the existing slowdown in the NCR property market.",http://www.financialexpress.com/industry/companies/godrej-properties-sells-over-rs-300-crore-villas-in-greater-noida/436349/,PTI ," November 2, 2016 12:10 PM"
Twitter India Chief Rishi Jaitly quits via tweets,Twitter India Chief Rishi Jaitly on Tuesday quit from his post after four years,http://www.financialexpress.com/industry/tech/twitter-india-chief-rishi-jaitly-quits-via-tweets/435678/,FE Online ," November 1, 2016 4:37 PM"
China Eastern Airlines to take first delivery of home built passenger jet C919 from COMAC,China Eastern Airlines Corp. will be the first customer to take delivery of the home made C919 single-aisle passenger jet as a state-owned planemaker markets the aircraft whose maiden test flight has been delayed at least twice since 2014.,http://www.financialexpress.com/industry/companies/china-eastern-airlines-to-take-first-delivery-of-home-built-passenger-jet-c919-from-comac/435388/,Bloomberg ," November 1, 2016 12:28 PM"
Cyrus Mistry hits back at Tata Group over ‘false and mischievous’ DoCoMo deal claims,Former chairman Cyrus Mistry on Tuesday hit out at the Tata Group over the long-pending dispute regarding Tata-Docomo.,http://www.financialexpress.com/companies/cyrus-mistry-hits-back-at-tata-group-over-false-and-mischievous-claims-over-docomo-deal/435638/,FE Online ," November 1, 2016 5:24 PM"
"Hyundai posts record sales of 64,372 units in October","Hyundai Motor India Ltd (HMIL) today reported its highest ever monthly sales at 64,372 units last month, up 4.3 per cent, as compared to October 2015.The company had sold 61,701 units in the same month last year, HMIL said in a statement. ",http://www.financialexpress.com/industry/companies/hyundai-posts-record-sales-of-64372-units-in-october/435573/,PTI ," November 1, 2016 3:14 PM"
N S Rajan resigns as non-executive director of Indian Hotels,"Days after quiting as the Tata Group’s HR head, N S Rajan has now resigned as a non-executive director of its hospitality arm Indian Hotels Company Ltd with effect from October 28.",http://www.financialexpress.com/industry/companies/n-s-rajan-resigns-as-non-executive-director-of-indian-hotels/435297/,PTI ," November 1, 2016 11:21 AM"
"New launches on cards for bullet maker, Royal Enfield","Eicher Motors is set to focus more on its best selling classic, modern classic and heritage bikes. The decision comes in the wake of increasing challenge its much reputed brand, Royal Enfield has been facing.",http://www.financialexpress.com/industry/companies/new-launches-on-cards-for-bullet-maker-royal-enfield/435515/,FE Online ," November 1, 2016 2:17 PM"
Reliance Jio impact: VoLTE smartphone demand reaches an all time high in India,Reliance Jio Infocomm’s 4G launch has led to the demand for devices supporting voice over long-term evolution (VoLTE)) almost doubling up.,http://www.financialexpress.com/industry/tech/reliance-jio-impact-volte-smartphone-demand-reaches-an-all-time-high-in-india/435286/,FE Online ," November 1, 2016 11:48 AM"
Nirmalya Kumar resigns as Tata Chemicals’ non-executive director,"Following the disbanding of the Group Executive Council of Tata Sons post Cyrus Mistry’s ouster, its member Nirmalya Kumar has resigned from the Tata Chemicals board as a non-executive director.",http://www.financialexpress.com/industry/companies/nirmalya-kumar-resigns-as-tata-chemicals-non-executive-director/435618/,PTI ," November 1, 2016 3:50 PM"
"Before you e-mail your resume to run Tata Group, read this","Wanted: dynamic leader to run $100 billion global corporation. Has extensive experience in software, ",http://www.financialexpress.com/industry/companies/before-you-e-mail-your-resume-to-run-tata-group-read-this/435384/,Bloomberg ," November 1, 2016 12:21 PM"
Samsung co-CEO to employees: Learn from Note 7 crisis,Samsung Electronics Co. will use its most recent crisis as a catalyst for a new start as the company faces numerous risks it has never experienced before.,http://www.financialexpress.com/industry/companies/samsung-co-ceo-to-employees-learn-from-note-7-crisis/435415/,Bloomberg ," November 1, 2016 12:45 PM"
Auditors deny Cyrus Mistry’s charges on Tata Motors Finance for not following stringent risk-evaluation processes,"Denying the charges of accounting lapses at the Tata Motoors, Auditors had told that the management have the complete authority to decide whether the company will spread the losses over the life of the asset or deduct it one time.",http://www.financialexpress.com/industry/companies/auditors-deny-cyrus-mistrys-charges-on-tata-motors-finance-for-not-following-stringent-risk-evaluation-processes/435623/,FE Online ," November 1, 2016 3:58 PM"
"Ola, India’s largest ride-hailing startup, in talks to raise about $600 million","India’s largest ride-hailing startup, Ola, is in talks to raise about $600 million and may close the deal by year end, as it seeks to counter an increasingly aggressive Uber Technologies Inc in the coveted India market, according to a person familiar with the matter.",http://www.financialexpress.com/industry/companies/ola-indias-largest-ride-hailing-startup-in-talks-to-raise-about-600-million/435627/,Bloomberg ," November 1, 2016 4:02 PM"
