Heading,Link,Summary,Date
Corporates can start medical colleges: Medical Council of India,http://economictimes.indiatimes.com/industry/services/education/corporates-can-start-medical-colleges-medical-council-of-india/articleshow/55616600.cms,"If the Supreme Court-appointed oversight panel and the ministry of health and family welfare approve this, corporates can apply for new colleges, officials said.","Nov 25, 2016, 01:32 PM IST"
"Panjab, Birmingham varsities come together to improve quality of life",http://economictimes.indiatimes.com/industry/services/education/panjab-birmingham-varsities-come-together-to-improve-quality-of-life/articleshow/55351269.cms,Experts from the two universities organised a two-day workshop earlier this week in Chandigarh and New Delhi to develop joint research projects around a range of themes.,"Nov 10, 2016, 03:23 PM IST"
Indian varsities should aspire to be among top 100: PM,http://economictimes.indiatimes.com/industry/services/education/indian-varsities-should-aspire-to-be-among-top-100-pm/articleshow/55401242.cms,PM Modi also urged the students to actively participate in sports and aim for a Gold in Tokyo Olympics in 2020.,"Nov 13, 2016, 05:49 PM IST"
Kerala govt to sanction funds for Higher Education scholarship,http://economictimes.indiatimes.com/industry/services/education/kerala-govt-to-sanction-funds-for-higher-education-scholarship/articleshow/55367822.cms,"Replying to a submission moved by Anwar Sadath (Cong), the Minister said the Council finds the amount for scholarship from the grant-in-aid, sanctioned by the government annually.","Nov 11, 2016, 12:22 PM IST"
Multiplying confidence: Nonprofits to fix elementary school math problem,http://economictimes.indiatimes.com/industry/services/education/multiplying-confidence-nonprofits-to-fix-elementary-school-math-problem/articleshow/55411443.cms,"Mathematical learning dips as a child moves into higher classes, especially in government schools, experts say.","Nov 14, 2016, 11:50 AM IST"
Rajiv Pratap Rudy looks to add AICTE to Skills Ministry,http://economictimes.indiatimes.com/industry/services/education/rajiv-pratap-rudy-looks-to-add-aicte-to-skills-ministry/articleshow/55340897.cms,"""Engineering has to become part of this whole skill ecosystem. At some point of time AICTE could be considered as part of the skilling ecosystem. But it shall take off,"" skill development minister Rajiv Pratap Rudy said.","Nov 10, 2016, 12:25 AM IST"
Infosys Foundation announces Rs6.5 crore endowment to the Inter-University Center of Astronomy and Astrophysics,http://economictimes.indiatimes.com/industry/services/education/infosys-foundation-announces-rs6-5-crore-endowment-to-the-inter-university-center-of-astronomy-and-astrophysics/articleshow/55349748.cms,The IUCAA is an autonomous institution set up by the UGC to promote the nucleation and growth of active groups in astronomy and astrophysics at Indian universities.,"Nov 10, 2016, 01:42 PM IST"
Modi government to rank states on education outcomes,http://economictimes.indiatimes.com/industry/services/education/modi-government-to-rank-states-on-education-outcomes/articleshow/55300709.cms,NITI Aayog along with the ministry of human resource development has developed a School Education Quality Index that will assess and rank states based on 34 indicators across five domains.,"Nov 8, 2016, 12:24 AM IST"
Companies offering top salaries to Delhi undergraduate students,http://economictimes.indiatimes.com/industry/services/education/companies-offering-top-salaries-to-delhi-undergraduate-students/articleshow/55361541.cms,St Stephen’s College reported a top annual salary offer of Rs 40 lakh for a student while one from Lady Shri Ram College for Women got Rs 34 lakh.,"Nov 11, 2016, 12:44 AM IST"
Line of Control villages send four boys to IITs,http://economictimes.indiatimes.com/industry/services/education/line-of-control-villages-send-four-boys-to-iits/articleshow/55397243.cms,"Four boys from two villages, barely 16km from the Line of Control in J&K's Poonch district, have made history by making it to IIT.","Nov 13, 2016, 11:33 AM IST"
IITs to conduct faculty recruitment drive in foreign countries,http://economictimes.indiatimes.com/industry/services/education/iits-to-conduct-faculty-recruitment-drive-in-foreign-countries/articleshow/55248376.cms,The recruitment drives will be an attempt to unlock the value of the globally renowned IITs and to attract talented faculty members from foreign Universities.,"Nov 4, 2016, 07:48 PM IST"
BSE Institute sings MoU with New Zealand’s University of Otago,http://economictimes.indiatimes.com/industry/services/education/bse-institute-sings-mou-with-new-zealands-university-of-otago/articleshow/55069149.cms,"The offerings are the Master of Professional Accounting (MProfAcct), which is a professionally accredited accounting program aimed at graduates.","Oct 26, 2016, 04:17 PM IST"
Drop in educational standards after Right to Education Act: TSR Subramanian,http://economictimes.indiatimes.com/industry/services/education/drop-in-educational-standards-after-right-to-education-act-tsr-subramanian/articleshow/55066099.cms,"While speaking at a panel discussion, about safe and secure education, especially girls, he said giving quality environment should be ""non-negotiable"".","Oct 26, 2016, 12:57 PM IST"
HRD turns down PMO idea on accreditation,http://economictimes.indiatimes.com/industry/services/education/hrd-turns-down-pmo-idea-on-accreditation/articleshow/55080674.cms,The HRD ministry’s proposal is that inspection of institutes for accreditation — may be outsourced to a consortium of IITs and IIMs.,"Oct 27, 2016, 01:00 AM IST"
"Supreme Court closes deemed university case, HRD seeks legal opinion",http://economictimes.indiatimes.com/industry/services/education/supreme-court-closes-deemed-university-case-hrd-seeks-legal-opinion/articleshow/55103122.cms,"ET has learnt that the HRD ministry, treading cautiously, has now sought clarity from the Law ministry on what are the implications of the court ruling.","Oct 28, 2016, 01:15 AM IST"
New learning plans could help 52 per cent class 5 rural students who can't read,http://economictimes.indiatimes.com/industry/services/education/new-learning-plans-could-help-52-per-cent-class-5-rural-students-who-cant-read/articleshow/55028703.cms,"The programme appears to be working. In 2015, these creative-learning sessions, conducted at least twice weekly during school hours with 79,695 standard 3, 4 and 5 students in 3,399 rural Rajasthan schools.","Oct 24, 2016, 02:32 PM IST"
Teachers should not be engaged in non-academic activities: CBSE to schools,http://economictimes.indiatimes.com/industry/services/education/teachers-should-not-be-engaged-in-non-academic-activities-cbse-to-schools/articleshow/55152971.cms,"Schools affiliated to CBSE should ensure that teachers should not be engaged in activities other than those related to direct teaching, professional upgradation, examination, etc.","Oct 31, 2016, 02:58 PM IST"
Navneet Education acquires Britannica’s Indian curriculum business,http://economictimes.indiatimes.com/industry/services/education/navneet-education-acquires-britannicas-indian-curriculum-business/articleshow/55065581.cms,"The company will market Britannica’s existing India-specific curriculum titles, such, ‘Know for Sure’ and ‘The English Channel’ as well as develop new titles.","Oct 26, 2016, 12:31 PM IST"
Harvard Business School to launch short courses for business leaders,http://economictimes.indiatimes.com/industry/services/education/harvard-business-school-to-launch-short-courses-for-business-leaders/articleshow/55039716.cms,"It is also in the process of launching more focused, need-based programmes that will take learning from small classrooms to bigger conclaves.","Oct 25, 2016, 01:00 AM IST"
States may have freedom to review no-detention policy,http://economictimes.indiatimes.com/industry/services/education/states-may-have-freedom-to-review-no-detention-policy/articleshow/55058826.cms,Javadekar said there was no decision yet on the reintroduction of class 10 CBSE board exams. “Adequate time will be given to students.”,"Oct 26, 2016, 12:44 AM IST"
Numaligarh Refinery inks MoU with Dibrugarh University,http://economictimes.indiatimes.com/industry/services/education/numaligarh-refinery-inks-mou-with-dibrugarh-university/articleshow/55036487.cms,NRL inks MoU with Dibrugarh University to strengthen the industry-academia linkage through mutual collaboration.,"Oct 24, 2016, 09:44 PM IST"
IIT Madras to set up centre on automotive research,http://economictimes.indiatimes.com/industry/services/education/iit-madras-to-set-up-centre-on-automotive-research/articleshow/54960695.cms,IIT Madras had signed the letter of intent with Fraunhofer Institute IWU Germany for its proposal to set up the Applied Centre for Advanced Automotive Research.,"Oct 20, 2016, 07:13 PM IST"
"Executive PG programme: Times Centre for learning, IIM Kozhikode tie up",http://economictimes.indiatimes.com/industry/services/education/executive-pg-programme-times-centre-for-learning-iim-kozhikode-tie-up/articleshow/54840681.cms,"Targeted at working professionals who are looking at gaining competency and leadership skills to move to the next level in their organisations, this programme requires executives to have at least three years of work experience.","Oct 14, 2016, 01:15 AM IST"
No need for prior sanction to engage foreign faculty in IITs,http://economictimes.indiatimes.com/industry/services/education/no-need-for-prior-sanction-to-engage-foreign-faculty-in-iits/articleshow/54965356.cms,The ministries have agreed that such clearances should be limited for faculty chosen from Prior Requirement Countries.,"Oct 20, 2016, 11:50 PM IST"
CA exam to be tweaked to stand test of time; ICAI may introduce new subjects,http://economictimes.indiatimes.com/industry/services/education/ca-exam-to-be-tweaked-to-stand-test-of-time-icai-may-introduce-new-subjects/articleshow/54840248.cms,Two new papers Business correspondence and reporting and Business and commercial knowledge will be introduced at the Foundation level while a new subject.,"Oct 14, 2016, 12:41 AM IST"
IITs may soon decide their own fee structure,http://economictimes.indiatimes.com/industry/services/education/iits-may-soon-decide-their-own-fee-structure/articleshow/54849932.cms,"The Ministry had also decided to give a total fee waiver for the differently-abled, students from SC and ST community and those belonging to families with annual income less than Rs 1 lakh, following a proposal by a high-level IIT panel.","Oct 14, 2016, 03:15 PM IST"
"Education loses lustre for Indians on Brexit, tough laws",http://economictimes.indiatimes.com/industry/services/education/education-loses-lustre-for-indians-on-brexit-tough-laws/articleshow/54905909.cms,"From almost 55,000 students two to three years ago, the number of UK-bound students has dropped to 10,000 as they choose other countries for graduation.","Oct 17, 2016, 11:53 PM IST"
"NCERT director denies comment on 'no detention' policy, ET stands by report",http://economictimes.indiatimes.com/industry/services/education/ncert-director-denies-comment-on-no-detention-policy-et-stands-by-report/articleshow/54901679.cms,The NCERT today issued a press statement saying that “NCERT Director Dr. Hrushikesh Senapathy has denied that while speaking to the Economic Times representative he supported the UPA government’s ‘no detention’ policy or opposed the proposal to scrap it by the present NDA government”.,"Oct 17, 2016, 08:28 PM IST"
41 Indians are Cambridge School's global toppers,http://economictimes.indiatimes.com/industry/services/education/41-indians-are-cambridge-schools-global-toppers/articleshow/54915550.cms,Cambridge International AS Level and Cambridge International A Level.Besides this there are 101 Indian students who topped in the country across these qualifications.,"Oct 18, 2016, 02:56 PM IST"
"IIT cut-off for SC/ST lowered, 10% more seats for foreign students",http://economictimes.indiatimes.com/industry/services/education/iit-cut-off-for-sc/st-lowered-10-per-cent-more-seats-for-foreign-students/articleshow/54877361.cms,"In another change, candidates applying under PWD category with dyslexia must submit a certificate from a doctor specialising in psychiatry.","Oct 16, 2016, 11:12 AM IST"
"VIT to set up its campus near Bhopal; Shivraj Singh Chouhan, Jaibhan Singh Pawaiya to lay foundation",http://economictimes.indiatimes.com/industry/services/education/vit-to-set-up-its-campus-near-bhopal-shivraj-singh-chouhan-jaibhan-singh-pawaiya-to-lay-foundation/articleshow/54896932.cms,"""In future, we will also think over setting up medical college as there is a huge shortage of doctors in the state,"" said Viswanathan, a former Tamil Nadu Minister.","Oct 17, 2016, 03:40 PM IST"
Stipends for interns swell at top B-schools,http://economictimes.indiatimes.com/industry/services/education/stipends-for-interns-swell-at-top-b-schools/articleshow/54744580.cms,"As India maintains its position as one of the most promising markets globally, bullish companies are paying more to rope in the brightest students.","Oct 8, 2016, 12:27 AM IST"
"Bharatiya Shikshan Mandal, an offshoot of RSS, vows to recast framework for research & education in India",http://economictimes.indiatimes.com/industry/services/education/bharatiya-shikshan-mandal-an-offshoot-of-rss-vows-to-recast-framework-for-research-education-in-india/articleshow/54705249.cms,BSM is setting up a foundation that will promote research on Indian themes. The workshop identified 252 ‘research ideas to build Bharat’ in various fields.,"Oct 6, 2016, 12:33 AM IST"
Government to give more autonomy to IIMs,http://economictimes.indiatimes.com/industry/services/education/government-to-give-more-autonomy-to-iims/articleshow/54754236.cms,"According to sources, among the key provisions that the HRD ministry has decided to revise include those related to the Visitor's office.","Oct 8, 2016, 06:44 PM IST"
Ashoka university to start UG science course,http://economictimes.indiatimes.com/industry/services/education/ashoka-university-to-start-ug-science-course/articleshow/54665840.cms,"The university will have new departments dedicated to physics, biology and environmental sciences, in addition to existing departments.","Oct 4, 2016, 01:24 AM IST"
"From next year, no re-evaluation for CBSE Class XII",http://economictimes.indiatimes.com/industry/services/education/from-next-year-no-re-evaluation-for-cbse-class-xii/articleshow/54691467.cms,"The board had introduced a three-tier re-evaluation system for Class XII candidates in 2014. Students and parents TOI spoke to termed the latest move as ""unfair"".","Oct 5, 2016, 11:47 AM IST"
Institute of Foreign Trade places students at Rs 1.24 lakh average stipend,http://economictimes.indiatimes.com/industry/services/education/institute-of-foreign-trade-places-students-at-rs-1-24-lakh-average-stipend/articleshow/54660547.cms,"Nearly 60% of the batch were offered asix-figure stipend. The Tata group (Tata Steel, Tata Motors, Titan, Tata International & TCS) made a total of 16 offers.","Oct 3, 2016, 08:07 PM IST"
"CBSE begins review of CCE, optional Class X board exam",http://economictimes.indiatimes.com/industry/services/education/cbse-begins-review-of-cce-optional-class-x-board-exam/articleshow/54692106.cms,"""A majority say that a dual system for the Class X exams is confusing. The exams are linked with CCE, and there again most stakeholders feel redundant elements can be removed.""","Oct 5, 2016, 12:18 PM IST"
Draft rules out for 20 world class institutions,http://economictimes.indiatimes.com/industry/services/education/draft-rules-out-for-20-world-class-institutions/articleshow/54744698.cms,The regulations have seen friction between the HRD ministry and the PMO with the latter pushing for a highly liberalised regulatory regime free of UGC controls.,"Oct 8, 2016, 12:41 AM IST"
"Proposal for yoga, culture courses in JNU rejected again",http://economictimes.indiatimes.com/industry/services/education/proposal-for-yoga-culture-courses-in-jnu-rejected-again/articleshow/54761752.cms,"The proposal to introduce three short-term courses in these subjects had come last year against the backdrop of right-wing organisations, including RSS.","Oct 9, 2016, 10:58 AM IST"
<p>Bengaluru schools vie to tie up with foreign institutes<br></p>,http://economictimes.indiatimes.com/industry/services/education/bengaluru-schools-vie-to-tie-up-with-foreign-institutesbr/articleshow/54712673.cms,"Some of Bengaluru's international schools are racing to partner with foreign institutions, a trend spurred by intense competition in a crowded segment.","Oct 6, 2016, 01:04 PM IST"
Common Admission Test 2016 registrations at seven-year high,http://economictimes.indiatimes.com/industry/services/education/common-admission-test-2016-registrations-at-seven-year-high/articleshow/54554904.cms,"There were 2,18,664 registrations for the test last year. This year's CAT registration number is the highest after 2009, when it was 2.4 lakh.","Sep 28, 2016, 05:00 AM IST"
GMAC adds 5 new test centers for NMAT by GMAC,http://economictimes.indiatimes.com/industry/services/education/gmac-adds-5-new-test-centers-for-nmat-by-gmac/articleshow/54521509.cms,NMAT enables B-schools to recruit talent from a test that measures the skills needed to succeed in their programmes.,"Sep 26, 2016, 01:34 PM IST"
Thales and IIT Delhi sign a MoU to create a jointly supervised fellowship programme,http://economictimes.indiatimes.com/industry/services/education/thales-and-iit-delhi-sign-a-mou-to-create-a-jointly-supervised-fellowship-programme/articleshow/54548633.cms,"Through this fellowship programme, Thales and IIT Delhi intend to facilitate scientific collaboration between Indian and French laboratories .","Sep 27, 2016, 08:17 PM IST"
IIT Bombay's satellite Pratham launched on Monday at 9.15 am,http://economictimes.indiatimes.com/industry/services/education/iit-bombays-satellite-pratham-launched-on-monday-at-9-15-am/articleshow/54526814.cms,"The foremost objective of Pratham is to empower the students involved with the skill set required to develop a satellite through various stages of design, analysis.","Sep 26, 2016, 06:53 PM IST"
Coursera and Manipal Global tie up for curated educational content,http://economictimes.indiatimes.com/industry/services/education/coursera-and-manipal-global-tie-up-for-curated-educational-content/articleshow/54547362.cms,This will allow Manipal learners initial access to more than 60 specializations and certificate programs from Coursera’s university partners. ,"Sep 27, 2016, 06:51 PM IST"
Son of NREGA labourer makes it to IIT-Delhi,http://economictimes.indiatimes.com/industry/services/education/son-of-nrega-labourer-makes-it-to-iit-delhi/articleshow/54497815.cms,"18-year-old Abhishake, resident of Chatrapura village in Etawa area of Kota district, is now a student of IIT-Delhi.","Sep 24, 2016, 05:31 PM IST"
IIM-A trying its best to implement faculty quota: Director,http://economictimes.indiatimes.com/industry/services/education/iim-a-trying-its-best-to-implement-faculty-quota-director/articleshow/54485297.cms,"""MHRD has not ordered us to fulfill obligations. They only asked us that we should try to invite people from all walks of life, especially the weaker sections.""","Sep 23, 2016, 08:17 PM IST"
Centre planning autonomy for good universities: Prakash Javadekar,http://economictimes.indiatimes.com/industry/services/education/centre-planning-autonomy-for-good-universities-prakash-javadekar/articleshow/54525076.cms,"""Universities that encourage innovation would be given support by Centre. PM Modi's aim is to have innovation hubs across the country,"" Javadekar said.","Sep 26, 2016, 04:58 PM IST"
"Capitation fees out, private medical colleges hike tuition charges",http://economictimes.indiatimes.com/industry/services/education/capitation-fees-out-private-medical-colleges-hike-tuition-charges/articleshow/54519318.cms,"At Dr DY Patil Medical College, Navi Mumbai, for example, the official fee is hiked by 3% every year. In 2013, the annual fee stood at Rs 8.5 lakh.","Sep 26, 2016, 11:27 AM IST"
CBSE asks UGC to conduct NET exam,http://economictimes.indiatimes.com/industry/services/education/cbse-asks-ugc-to-conduct-net-exam/articleshow/54488493.cms,CBSE chairperson R K Chaturvedi has written to UGC chairperson Ved Prakash seeking that it should take over the process.,"Sep 23, 2016, 11:13 PM IST"
"31 Indian institutes in Times World University Rankings, IISc Bangalore highest ranked",http://economictimes.indiatimes.com/industry/services/education/31-indian-institutes-in-times-world-university-rankings-iisc-bangalore-highest-ranked/articleshow/54456417.cms,"Besides IISc, Indian Institute of Technology (IIT) Bombay also figure in the top 400. IIT Bombay remains in the same 351-400 band as in last year.","Sep 22, 2016, 08:10 AM IST"
"Double intake in PG diplomas, IIMs told",http://economictimes.indiatimes.com/industry/services/education/double-intake-in-pg-diplomas-iims-told/articleshow/54440256.cms,"As for expansion of doctoral programme, HRD minister Prakash Javadekar told IIM directors that it would help deal with problems of faculty crunch","Sep 21, 2016, 11:41 AM IST"
India top source for MBA seekers in schools abroad,http://economictimes.indiatimes.com/industry/services/education/india-top-source-for-mba-seekers-in-schools-abroad/articleshow/54440325.cms,The report said that India has pushed China and USA to second and third positions in the international applications category.,"Sep 21, 2016, 11:47 AM IST"
World-class schools? Ministries yet to agree,http://economictimes.indiatimes.com/industry/services/education/world-class-schools-ministries-yet-to-agree/articleshow/54460144.cms,“The law ministry has said how could the empowered committee be given unlimited powers to select institutions as well as regulate them?,"Sep 22, 2016, 12:28 PM IST"
Bangalore University mantra of improving pass percentage? set an easy paper,http://economictimes.indiatimes.com/industry/services/education/bangalore-university-mantra-of-improving-pass-percentage-set-an-easy-paper/articleshow/54420887.cms,"Administrators put their heads together to improve the results and came up with a simple, albeit novel, idea: Let's give the students a simple question paper.","Sep 20, 2016, 10:46 AM IST"
Plan for more IIM graduates: Prakash Javadekar at IIM Directors' meet,http://economictimes.indiatimes.com/industry/services/education/plan-for-more-iim-graduates-prakash-javadekar-at-iim-directors-meet/articleshow/54429446.cms,The IIMs are expected to submit plans on expansion keeping in mind their capacity and infrastructure capabilities.,"Sep 20, 2016, 07:52 PM IST"
Autonomy of private varsities under threat,http://economictimes.indiatimes.com/industry/services/education/autonomy-of-private-varsities-under-threat/articleshow/54459496.cms,"If a university wants to increase decrease the number of seats in a course or startclose a new departmentcourse, the Council has to be paid a processing fee of Rs 10,000 along with a justification.","Sep 22, 2016, 11:51 AM IST"
Coursera & ISB launch two specializations on emerging markets and business technology,http://economictimes.indiatimes.com/industry/services/education/coursera-isb-launch-two-specializations-on-emerging-markets-and-business-technology/articleshow/54424285.cms,"On an average, the specialisations should take about six months to complete with an estimated workload being of 3 to 4 hours per week.","Sep 20, 2016, 02:29 PM IST"
Indian thoughts now part of Singapore varsity course,http://economictimes.indiatimes.com/industry/services/education/indian-thoughts-now-part-of-singapore-varsity-course/articleshow/54418280.cms,"The course, titled ‘Asian International and Strategic Thought’, will focus on the writings of Indian, Chinese, Japanese and Singapore leaders and scholars who have written about international and strategic affairs.","Sep 20, 2016, 07:53 AM IST"
Deloitte announces winners of its industry-academia connect programme ‘Maverick’,http://economictimes.indiatimes.com/industry/services/education/deloitte-announces-winners-of-its-industry-academia-connect-programme-maverick/articleshow/54363702.cms,"The winners of the grand finale, held today at Deloitte’s Hyderabad office, were ‘Read Mould Deliver’ from Jamnalal Bajaj Institute of Management Studies.","Sep 16, 2016, 04:33 PM IST"
"No school bags, homework for classes I and II: CBSE",http://economictimes.indiatimes.com/industry/services/education/no-school-bags-homework-for-classes-i-and-ii-cbse/articleshow/54298968.cms,"Schools should not prescribe too many additional and supplementary textbooks which are at times voluminous, costly and designed in a pedagogically unsound manner.","Sep 12, 2016, 10:55 PM IST"
Government to set up agency to provide up to Rs 20k crore for research in IITs,http://economictimes.indiatimes.com/industry/services/education/government-to-set-up-agency-to-provide-up-to-rs-20k-crore-for-research-in-iits/articleshow/54293772.cms,The HRD Ministry's proposal to this effect was cleared at a meeting of the Union Cabinet chaired by Prime Minister Narendra Modi today.,"Sep 12, 2016, 05:43 PM IST"
"HRD ministry working towards digital degrees, certificates",http://economictimes.indiatimes.com/industry/services/education/hrd-ministry-working-towards-digital-degrees-certificates/articleshow/54250289.cms,"Apart from giving away certificates in digital format, every student will also get an opportunity to upload their other certificates and awards.","Sep 9, 2016, 04:25 PM IST"
Mahindra Group launches leadership programme for mid-management women,http://economictimes.indiatimes.com/industry/services/education/mahindra-group-launches-leadership-programme-for-mid-management-women/articleshow/54049617.cms,The programme consists of a professional development journey spanning 18 months and has been designed to help participants develop competencies required to advance into future leadership positions.,"Sep 7, 2016, 04:55 PM IST"
The Swades Foundation joins hands with Government of Maharashtra to improve School Education in Raigad District,http://economictimes.indiatimes.com/industry/services/education/the-swades-foundation-joins-hands-with-government-of-maharashtra-to-improve-school-education-in-raigad-district/articleshow/54290965.cms,The foundation has signed an MoU with the government to collaborate on bringing qualitative and quantitative improvement in primary and secondary schools over the next five years.,"Sep 12, 2016, 02:30 PM IST"
Oberoi Centre of Learning and Development announces new 'Sales management programme',http://economictimes.indiatimes.com/industry/services/education/oberoi-centre-of-learning-and-development-announces-new-sales-management-programme/articleshow/54311337.cms,Oberoi said the 18-month long sales management programme is designed to train graduates through a combination of academic study.,"Sep 13, 2016, 04:37 PM IST"
"HRD Ministry notes the difficulties, IIT tuition fee hike may be reviewed",http://economictimes.indiatimes.com/industry/services/education/hrd-ministry-notes-the-difficulties-iit-tuition-fee-hike-may-be-reviewed/articleshow/54160885.cms,"Another problem is that more than 60% students at IIT Roorkee and most other IITs are currently paying even less than Rs 90,000,owing to partial or complete fee waivers","Sep 8, 2016, 07:41 AM IST"
