Heading,Link,Summary,Date
Only half UG and PG engg seats filled in 2015-16,http://economictimes.indiatimes.com/industry/services/education/only-half-ug-and-pg-engg-seats-filled-in-2015-16/articleshow/57007161.cms,The information was provided by Minister of State for HRD Mahendra Nath Pandey in a written reply to a question in the Lok Sabha.,"Feb 6, 2017, 10:31 PM IST"
National Testing Agency for higher education entrance: Arun Jaitley,http://economictimes.indiatimes.com/industry/services/education/national-testing-agency-for-higher-education-entrance-arun-jaitley/articleshow/56909564.cms,"FM Jaitley said,""We propose to set up a National Testing Agency as an autonomous and self-sustained premier testing agency to conduct all entrance exams to higher education.""","Feb 1, 2017, 12:29 PM IST"
IIM Bangalore Post Graduate Programme ranked among top 50 in FT ranking,http://economictimes.indiatimes.com/industry/services/education/iim-bangalore-post-graduate-programme-ranked-among-top-50-in-ft-ranking/articleshow/56888460.cms,"The other management schools in the top 50 include INSEAD, Stanford Graduate School of Business, Harvard Business School, MIT: Sloan.","Jan 31, 2017, 12:40 PM IST"
Donald Trump's travel ban: US-bound students on tenterhooks,http://economictimes.indiatimes.com/industry/services/education/donald-trumps-travel-ban-us-bound-students-on-tenterhooks/articleshow/56885434.cms,"According to news reports, the Trump administration is looking to cut the time students in the US can stay on in the country after they finish their studies.","Jan 31, 2017, 10:11 AM IST"
"ISB, IIM-B rise in FT Global MBA Ranking-2017",http://economictimes.indiatimes.com/industry/services/education/isb-iim-b-rise-in-ft-global-mba-ranking-2017/articleshow/56875462.cms,"The ranking uses data collected from the schools and the 9,000 alumni who completed a full-time MBA at them in 2013 -","Jan 30, 2017, 06:56 PM IST"
A first in 7 years: DU will hire 378 teachers,http://economictimes.indiatimes.com/industry/services/education/a-first-in-7-years-du-will-hire-378-teachers/articleshow/56867392.cms,"In December 2016, HRD minister Prakash Javadekar had said that his ministry would push for a recruitment drive in all major institutions.","Jan 30, 2017, 11:36 AM IST"
IIT Kharagpur and State Bank of India develop a customised portal for intellectual property,http://economictimes.indiatimes.com/industry/services/education/iit-kharagpur-and-state-bank-of-india-develop-a-customised-portal-for-intellectual-property/articleshow/56871981.cms,The IPDaas will facilitate streamlining patent applications for solutions developed internally and thereby making them available for external use through licensing.,"Jan 30, 2017, 03:56 PM IST"
Try biometric attendance to tackle teacher absenteeism: Survey,http://economictimes.indiatimes.com/industry/services/education/try-biometric-attendance-to-tackle-teacher-absenteeism-survey/articleshow/56894057.cms,The pre-Budget document tabled in Parliament by Jaitley said an important concern that is often raised in the context of school education is low learning outcomes.,"Jan 31, 2017, 05:24 PM IST"
Ten measures for education rejig in Budget 2017,http://economictimes.indiatimes.com/industry/services/education/ten-measures-for-education-rejig-in-budget-2017/articleshow/56912210.cms,Emphasis will be given on science education and flexibility in curriculum to promote creativity through local innovative content.,"Feb 1, 2017, 01:55 PM IST"
University of Manchester to conduct a meetings in Delhi & Mumbai this month,http://economictimes.indiatimes.com/industry/services/education/university-of-manchester-to-conduct-a-meetings-in-delhi-mumbai-this-month/articleshow/56872917.cms,"The university will conduct meet to strengthen education, research and business ties between the universities in India.","Jan 30, 2017, 05:31 PM IST"
Great Lakes Institute of Management launches MBA in Technopreneurship,http://economictimes.indiatimes.com/industry/services/education/great-lakes-institute-of-management-launches-mba-in-technopreneurship/articleshow/56895440.cms,"As part of the new programme, in addition to obtaining a Certification in Technopreneurship from Great Lakes Institute of Management, students can also enroll in IIT, Chicago.","Jan 31, 2017, 06:50 PM IST"
IIM Calcutta in association with NIIT launches 12th batch of Executive Program in Applied Finance,http://economictimes.indiatimes.com/industry/services/education/iim-calcutta-in-association-with-niit-launches-12th-batch-of-executive-program-in-applied-finance/articleshow/56754682.cms,The program will be delivered through a combination of online and offline modes. The online component will be in a direct-to-device mode delivered through training.com.,"Jan 24, 2017, 01:41 PM IST"
Not so NEET - State medical colleges seek 15% fee hike,http://economictimes.indiatimes.com/industry/services/education/not-so-neet-state-medical-colleges-seek-15-fee-hike/articleshow/56774650.cms,"The state government expects to sign a consensual agreement with private colleges under the Karnataka Professional Educational Institutions (Regulation o f Admission and Determination of Fee) Act, 2006.","Jan 25, 2017, 12:26 PM IST"
"IIM Bill gets cabinet nod, more power to board likely",http://economictimes.indiatimes.com/industry/services/education/cabinet-approves-iim-bill-2017/articleshow/56756898.cms,The Bill also provides for periodic review of the performance of institutions by independent agencies and placing the results of the same in public domain.,"Jan 25, 2017, 01:46 AM IST"
Can fix education system if our top graduates choose to teach?,http://economictimes.indiatimes.com/industry/services/education/can-fix-education-system-if-our-top-graduates-choose-to-teach/articleshow/56750986.cms,"We live in a country where 76% of our children will drop out before Class X, and 53% of our Grade V students can't read a Grade II textbook.","Jan 24, 2017, 11:30 AM IST"
Key bill to bring IIMs at par with global standards,http://economictimes.indiatimes.com/industry/services/education/key-bill-to-bring-iims-at-par-with-global-standards/articleshow/56787716.cms,"Although the IIMs have high credibility in South Asia and are recognised as centers of quality business academia by Indian companies, there are issues about the nomenclature of the graduate and doctoral-equivalent diplomas abroad.","Jan 26, 2017, 01:24 AM IST"
Niti Aayog's Atal Tinkering Labs mission to shape ideas of young minds,http://economictimes.indiatimes.com/industry/services/education/niti-aayogs-atal-tinkering-labs-mission-to-shape-ideas-of-young-minds/articleshow/56791227.cms,"Government will provide grant-in-aid of one time set-up cost of Rs 10 lakh to the selected schools. Also, they will get operational expenses of Rs 10 lakh each for five years.","Jan 26, 2017, 10:50 AM IST"
More Central institutions could be given autonomy: Prakash Javadekar,http://economictimes.indiatimes.com/industry/services/education/more-central-institutions-could-be-given-autonomy-prakash-javadekar/articleshow/56780161.cms,He also expressed hope that the proposed legislation would come in the upcoming Budget Session of Parliament and would be passed soon.,"Jan 25, 2017, 05:24 PM IST"
"UGC-NET conducted in 90 cities; 4,500 wrote for Yoga as subject",http://economictimes.indiatimes.com/industry/services/education/ugc-net-conducted-in-90-cities-4500-wrote-for-yoga-as-subject/articleshow/56761661.cms,"For the first time, Yoga was introduced as a subject and approximately 4,500 candidates appeared for it, the statement added.","Jan 24, 2017, 07:05 PM IST"
"Demonetisation, cashless economy in Rajasthan school syllabus",http://economictimes.indiatimes.com/industry/services/education/demonetisation-cashless-economy-in-rajasthan-school-syllabus/articleshow/56755593.cms,Jaipur Metro has also gone cashless with the entire transaction of purchasing tickets made cashless.,"Jan 24, 2017, 02:25 PM IST"
"Indian students looking for safer pastures amid protectionist policies of US, UK",http://economictimes.indiatimes.com/industry/services/education/indian-students-looking-for-safer-pastures-amid-protectionist-policies-of-us-uk/articleshow/56744361.cms,"​​Admission consultants have told ET that a growing number of international schools are now reaching out to Indian students, who are rattled by the rhetoric coming out from London and Washington, DC.","Jan 24, 2017, 01:33 AM IST"
Lucknow's Eti Agarwal is CA all India topper,http://economictimes.indiatimes.com/industry/services/education/lucknows-eti-agarwal-is-ca-all-india-topper/articleshow/56640999.cms,"In 2011, Eti bagged All India Rank 1 in the ISC (class 12) examinations by scoring 98.75% with 100% each in mathematics and commerce.","Jan 18, 2017, 12:08 PM IST"
Assam bars government teachers from being member of any private institutions,http://economictimes.indiatimes.com/industry/services/education/assam-bars-government-teachers-from-being-member-of-any-private-institutions/articleshow/56602443.cms,Any of the teachers or Principals on the panel of such private institutions or non-educational institutions shall immediately resign from such post.,"Jan 16, 2017, 09:11 PM IST"
Government school students move up the learning curve,http://economictimes.indiatimes.com/industry/services/education/government-school-students-move-up-the-learning-curve/articleshow/56654576.cms,"In Kerala and Gujarat, government school enrolment went up while Uttarakhand, Arunachal and Assam showed increase in private enrolment.","Jan 19, 2017, 12:54 AM IST"
Mid-day meal in madrasas imparting mainstream education: Mukhtar Abbas Naqvi,http://economictimes.indiatimes.com/industry/services/education/mid-day-meal-in-madrasas-imparting-mainstream-education-mukhtar-abbas-naqvi/articleshow/56622657.cms,"The conference was attended by National Commission for Minorities chairman Naseem Ahmad, its member Praveen Davar, secretary Amrendra Sinha and others.","Jan 17, 2017, 02:26 PM IST"
"Quota for OBC students in Navodaya schools likely, hints MoS for HRD Upendra Kushwaha",http://economictimes.indiatimes.com/industry/services/education/quota-for-obc-students-in-navodaya-schools-likely-hints-mos-for-hrd-upendra-kushwaha/articleshow/56622951.cms,He said that he felt it was not proper that reservation provisions regarding the Other Backward Class (OBC) were not applied in nearly 600 Jawahar Navodaya Vidyalayas (JNVs).,"Jan 17, 2017, 02:44 PM IST"
Haryana government to establish Internal Security University,http://economictimes.indiatimes.com/industry/services/education/haryana-government-to-establish-internal-security-university/articleshow/56603808.cms,"Chief Minister Manohar Lal Khattar has, accorded in-principle approval for this project, an official release said here today.","Jan 16, 2017, 10:31 PM IST"
Mapping city schools: How to Ensure Equitable Distribution of Schools,http://economictimes.indiatimes.com/industry/services/education/mapping-city-schools-how-to-ensure-equitable-distribution-of-schools/articleshow/56620471.cms,"If the number of students is too low and expenditure per child too high, do not open new schools, but provide free transportation to the nearest existing school.","Jan 17, 2017, 12:37 PM IST"
"SP Jain, Times Group to offer media and entertainment management programme",http://economictimes.indiatimes.com/industry/services/education/sp-jain-times-group-to-offer-entertainment-management-programme/articleshow/56675790.cms,"Conceived after analysing existing skill gaps and growing demand for managerial talent, the programme aims to aid professionals in tackling the unique challenges facing the industry.","Jan 20, 2017, 01:31 AM IST"
Millions of children face grave learning crisis as BIMARU states make little progress in education,http://economictimes.indiatimes.com/industry/services/education/million-of-children-face-grave-learning-crisis-as-bimaru-states-make-little-progress-in-education/articleshow/56684558.cms,"If the math and reading skills of 111 mn children cannot be improved, it is unlikely that India will be able to completely reap its demographic dividend.","Jan 20, 2017, 02:58 PM IST"
Performance of government schools better than private: ASER,http://economictimes.indiatimes.com/industry/services/education/performance-of-government-schools-better-than-private-aser/articleshow/56647369.cms,"Farida Lambay, co-founder of Pratham NGO and Usha Rane, director content and training at the organisation were present. ASER report is facilitated by Pratham.","Jan 18, 2017, 06:09 PM IST"
IIM Ahmedabad and Alef Mobitech to set up a strategic alliance to help transform the mobile internet,http://economictimes.indiatimes.com/industry/services/education/iim-ahmedabad-and-alef-mobitech-to-set-up-a-strategic-alliance-to-help-transform-the-mobile-internet/articleshow/56497939.cms,"This is the first of a series of initiatives under MIW, which would partner global schools of excellence in business and technology within the next few years.","Jan 12, 2017, 03:34 PM IST"
Delhi topper took CAT to teach students how to ace it,http://economictimes.indiatimes.com/industry/services/education/delhi-topper-took-cat-to-teach-students-how-to-ace-it/articleshow/56437124.cms,"Already two jobs down, Sharma got into teaching after he took two CAT aspirants under his wing. Ever since then, it has been his passion.But he is sad that this year only engineers have managed to get a 100 percentile.","Jan 10, 2017, 12:20 PM IST"
"With 76,000 schools on GIS map, Karnataka looks at analytics to rationalise schools",http://economictimes.indiatimes.com/industry/services/education/with-76000-schools-on-gis-map-karnataka-looks-at-analytics-to-rationalise-schools/articleshow/56429422.cms,"Uneven distribution of schools has been a concern experts have voiced, especially with the coming of the Right to Education (RTE) Act making elementary education compulsory.","Jan 10, 2017, 12:23 AM IST"
"If Narendra Modi can demonetise, he can also revamp higher education and research: P Balaram",http://economictimes.indiatimes.com/industry/services/education/if-narendra-modi-can-demonetise-he-can-also-revamp-higher-education-and-research-p-balaram/articleshow/56566044.cms,"Balaram did his Ph.D from Carnegie-Mellon University, Pittsburgh, and underwent post-doctoral training at the Department of Chemistry in Harvard.","Jan 15, 2017, 05:18 PM IST"
Maharashtra plans to offer short-term courses to reskill ITI students,http://economictimes.indiatimes.com/industry/services/education/maharashtra-plans-to-offer-short-term-courses-to-reskill-iti-students/articleshow/56576537.cms,The state cabinet on Monday (Januray 2) amended a rule giving power to the state to design syllabus for ITI students.,"Jan 16, 2017, 12:21 AM IST"
Newer IIMs languishing sans full-time directors,http://economictimes.indiatimes.com/industry/services/education/newer-iims-languishing-sans-full-time-directors/articleshow/56529593.cms,"Janat Shah, director in charge at IIM-Udaipur, said perhaps the ministry underestimated the time it could take to appoint a new director.","Jan 14, 2017, 12:23 AM IST"
"Once again, CAT topper is from Chandigarh",http://economictimes.indiatimes.com/industry/services/education/once-again-cat-topper-is-from-chandigarh/articleshow/56425775.cms,Mukesh Goyal emerged as the All India CAT  Topper with 100 percentile.,"Jan 9, 2017, 09:05 PM IST"
CAT 2016 results declared; 20 candidates are 100 percentilers,http://economictimes.indiatimes.com/industry/services/education/cat-2016-results-declared-20-candidates-are-100-percentilers/articleshow/56418252.cms,"“However, in the sectionals, many non-engineers and female candidates have scored 100 percentile,” professor Rajendra K Bandi, Convener added.","Jan 10, 2017, 12:37 AM IST"
"With GIS map data, state looks to rationalise schools",http://economictimes.indiatimes.com/industry/services/education/with-gis-map-data-state-looks-to-rationalise-schools/articleshow/56436115.cms,"During RTE admissions last year, authorities stumbled upon 14 municipal wards in Bengaluru which did not have a single school, government-run or unaided.","Jan 10, 2017, 11:20 AM IST"
