Heading,Link,Summary,Date
ISL 2016 clocked total viewership of 216 million: Star India,http://economictimes.indiatimes.com/industry/media/entertainment/isl-2016-clocked-total-viewership-of-216-million-star-india/articleshow/56316795.cms,"In the previous season, the total viewership was at around 207 million, the company said.","Jan 3, 2017, 08:22 PM IST"
Media industry gapes at a loss of Rs 1500 crore in advertising money,http://economictimes.indiatimes.com/industry/media/entertainment/media-industry-gapes-at-a-loss-of-rs-1500-crore-in-advertising-money/articleshow/55726744.cms,"The top media buying agencies have revised their estimates of loss in advertising expenditure from Rs 700 crore in mid November to now upwards of Rs 1,500 crore between 15 Nov - 31 Dec.","Dec 1, 2016, 05:23 PM IST"
ESPN Films to beam sports documentary for 1st time in India,http://economictimes.indiatimes.com/industry/media/entertainment/espn-films-to-beam-sports-documentary-for-1st-time-in-india/articleshow/55564586.cms,Sony ESPN has shortlisted 50 films from the international archive available and has scheduled the first 13 over the next quarter.,"Nov 22, 2016, 07:53 PM IST"
Sachin Tendulkar promoted sports-based entertainment company Smaaash to make USA foray,http://economictimes.indiatimes.com/industry/media/entertainment/sachin-tendulkar-promoted-sports-based-entertainment-company-smaaash-to-make-usa-foray/articleshow/55423199.cms,"Smaaash will be launched at an 80,000 square feet space at Mall of America in Bloomington, Minnesota, with an investment of close to $12 million.","Nov 14, 2016, 11:57 PM IST"
"Now withdraw Rs 2,000 cash per card at multiplexes",http://economictimes.indiatimes.com/industry/media/entertainment/now-withdraw-rs-2000-cash-per-card-at-multiplexes/articleshow/55616624.cms,"Inox will facilitate transactions at the 106 multiplexes across India, where people can swipe their debit cards to withdraw up to Rs 2,000 in cash per card per day.","Nov 25, 2016, 01:34 PM IST"
Indian films won't need CBFC certificate to be showcased in the IFFI,http://economictimes.indiatimes.com/industry/media/entertainment/indian-films-wont-need-cbfc-certificate-to-be-showcased-in-the-iffi/articleshow/55192847.cms,Officials said the move to relieve filmmakers of a CBFC certificate is bringing in the way certification of movies is done by CBFC.,"Nov 2, 2016, 12:54 AM IST"
"Rs 500 & Rs 1,000 notes scrapped: Corporatised film industry unperturbed",http://economictimes.indiatimes.com/industry/media/entertainment/rs-500-rs-1000-notes-scrapped-corporatised-film-industry-unperturbed/articleshow/55341634.cms,"The film industry has often been looked down upon amid a general perception that producers, directors and stars either do not pay taxes or hide their actual income.","Nov 10, 2016, 01:04 AM IST"
Tollywood slides into Rs 200 crore loss,http://economictimes.indiatimes.com/industry/media/entertainment/tollywood-slides-into-rs-200-crore-loss/articleshow/55744382.cms,"Vice-president of East India Motion Pictures Association Krishna Daga said out of 176 films that were cleared since January, only 122 could be released.","Dec 2, 2016, 11:41 AM IST"
Kwan buys out CAA’s stake in joint venture,http://economictimes.indiatimes.com/industry/media/entertainment/kwan-buys-out-caas-stake-in-joint-venture/articleshow/55469662.cms,"However, talking to ET, Missy Davy, a spokeswoman for CAA, clarified that her agency has built strong and direct relationships in India","Nov 17, 2016, 10:02 AM IST"
Multiplexes may take a hit post 2017 as studios go slow,http://economictimes.indiatimes.com/industry/media/entertainment/multiplexes-may-take-a-hit-post-2017-as-studios-go-slow/articleshow/55213986.cms,"Experts believe that till 2017, there are films which will not let multiplexes lose sleep; it will be post that when the number of films released will slow down.","Nov 3, 2016, 12:40 AM IST"
