Heading,Link,Summary,Date
Over 2 lakh Indians studying in American universities: Report,http://economictimes.indiatimes.com/industry/services/education/over-2-lakh-indians-studying-in-american-universities-report/articleshow/55890009.cms,"China is followed by India with 206,582 students, but its growth rate of 14.1 per cent is much more than that of China.","Dec 9, 2016, 12:20 PM IST"
Foreign educationists bullish on prospects in India,http://economictimes.indiatimes.com/industry/services/education/foreign-educationists-bullish-on-prospects-in-india/articleshow/55623768.cms,"Foreign educationists are bullish on prospects of setting up learning institutions in India, given the country's multi-pronged initiatives to skill the youths, a private language learning establishment has said.","Nov 25, 2016, 08:32 PM IST"
Samsung Smart Class takes digital literacy to rural India,http://economictimes.indiatimes.com/industry/services/education/smasung-smart-class-takes-digital-literacy-to-rural-india/articleshow/55647821.cms,"Samsung Smart Class, the company’s flagship citizen programme in India, promotes digital education among underprivileged students, especially in rural areas.","Nov 27, 2016, 01:01 PM IST"
IIT student strength to be one lakh by 2020,http://economictimes.indiatimes.com/industry/services/education/iit-student-strength-to-be-one-lakh-by-2020/articleshow/55604340.cms,"Minister of State for Human Resource Development Mahendra Nath Pandey also said that there ""is no adverse effect"" on studies in the institutes due to shortage of faculty","Nov 24, 2016, 08:34 PM IST"
HRD Ministry encouraging Educational institutions to go for cashless transactions,http://economictimes.indiatimes.com/industry/services/education/hrd-ministry-encouraging-educational-institutions-to-go-for-cashless-transactions/articleshow/55672069.cms,"All Institutions have been asked to encourage & ensure cashless transactions are done through debit/credit cards,online transfers,RTGS, cheques.","Nov 28, 2016, 10:11 PM IST"
"Centre mulls institute of excellence for rubber, tyre sector",http://economictimes.indiatimes.com/industry/services/education/centre-mulls-institute-of-excellence-for-rubber-tyre-sector/articleshow/55585413.cms,The institute is being planned on the lines of Central Institute of Plastics Engineering and Technology (CIPET) in case of Plastics and Footwear Design and Development Institute (FDDI) in case of leather industry.,"Nov 23, 2016, 08:39 PM IST"
ReNew Power Ventures signs MoU with IITD for research facility on renewable energy,http://economictimes.indiatimes.com/industry/services/education/renew-power-ventures-signs-mou-with-iitd-for-research-facility-on-renewable-energy/articleshow/55576606.cms,"Under the initiative, the centre will provide advice papers and status reports for the Government of India and multilateral organisations on renewable energy","Nov 23, 2016, 12:13 PM IST"
Cabinet approves opening of 62 Jawahar Navodaya Vidyalaya,http://economictimes.indiatimes.com/industry/services/education/cabinet-approves-opening-of-62-jawahar-navodaya-vidyalaya/articleshow/55588561.cms,"The project comes with an outlay of Rs 2,871 crore, an official statement released here said.","Nov 23, 2016, 11:18 PM IST"
Corporates can start medical colleges: Medical Council of India,http://economictimes.indiatimes.com/industry/services/education/corporates-can-start-medical-colleges-medical-council-of-india/articleshow/55616600.cms,"If the Supreme Court-appointed oversight panel and the ministry of health and family welfare approve this, corporates can apply for new colleges, officials said.","Nov 25, 2016, 01:32 PM IST"
Foreign students to pay Rs 6 lakh per annum as fees at IITs,http://economictimes.indiatimes.com/industry/services/education/foreign-students-to-pay-rs-6-lakh-per-annum-as-fees-at-iits/articleshow/55671124.cms,"Fees for Indian students at the IITs were earlier this year increased from Rs 90,000 to Rs 2 lakh.","Nov 28, 2016, 09:13 PM IST"
Enrol JEE aspirants for Aadhaar on priority basis: UIDAI,http://economictimes.indiatimes.com/industry/services/education/enrol-jee-aspirants-for-aadhaar-on-priority-basis-uidai/articleshow/55665244.cms,"""UIDAI has directed all its Registrars and enrolment agencies to enrol JEE applicants on priority basis,"" UIDAI CEO said.","Nov 28, 2016, 03:20 PM IST"
Indian varsities should aspire to be among top 100: PM,http://economictimes.indiatimes.com/industry/services/education/indian-varsities-should-aspire-to-be-among-top-100-pm/articleshow/55401242.cms,PM Modi also urged the students to actively participate in sports and aim for a Gold in Tokyo Olympics in 2020.,"Nov 13, 2016, 05:49 PM IST"
Kerala govt to sanction funds for Higher Education scholarship,http://economictimes.indiatimes.com/industry/services/education/kerala-govt-to-sanction-funds-for-higher-education-scholarship/articleshow/55367822.cms,"Replying to a submission moved by Anwar Sadath (Cong), the Minister said the Council finds the amount for scholarship from the grant-in-aid, sanctioned by the government annually.","Nov 11, 2016, 12:22 PM IST"
Multiplying confidence: Nonprofits to fix elementary school math problem,http://economictimes.indiatimes.com/industry/services/education/multiplying-confidence-nonprofits-to-fix-elementary-school-math-problem/articleshow/55411443.cms,"Mathematical learning dips as a child moves into higher classes, especially in government schools, experts say.","Nov 14, 2016, 11:50 AM IST"
"Macquarie University ties up with TISS, LSR, St Xavier’s Kolkata",http://economictimes.indiatimes.com/industry/services/education/macquarie-university-ties-up-with-tiss-lsr-st-xaviers-kolkata/articleshow/55474200.cms,"The three Indian institutions involved in the scholarship agreement include Lady Shri Ram College for Women in Delhi, The Tata Institute of Social Science in Mumbai and St. Xavier’s College in Kolkata, the Sydney-based university said.","Nov 17, 2016, 02:32 PM IST"
10 per cent foreign students in Israel are Indians: Reuven Rivlin,http://economictimes.indiatimes.com/industry/services/education/10-per-cent-foreign-students-in-israel-are-indians-reuven-rivlin/articleshow/55475307.cms,"The visit, first by an Israeli President in nearly 20 years, symbolises the growing partnership between India and Israel.","Nov 17, 2016, 03:33 PM IST"
Welingkar signs agreements with two Israeli universities,http://economictimes.indiatimes.com/industry/services/education/welingkar-signs-agreements-with-two-israeli-universities/articleshow/55480123.cms,The Israeli present highlighted the need of excellence and quality in research along with the need for modern facilities and international collaborations.,"Nov 17, 2016, 08:25 PM IST"
"For second year in a row, record rise in Indian students in US",http://economictimes.indiatimes.com/industry/services/education/record-25-per-cent-rise-in-number-of-indian-students-in-us-report/articleshow/55417095.cms,"According to the report, India is now the second leading place of origin accounting for every sixth international student in the US, after China.","Nov 15, 2016, 06:52 PM IST"
Companies offering top salaries to Delhi undergraduate students,http://economictimes.indiatimes.com/industry/services/education/companies-offering-top-salaries-to-delhi-undergraduate-students/articleshow/55361541.cms,St Stephen’s College reported a top annual salary offer of Rs 40 lakh for a student while one from Lady Shri Ram College for Women got Rs 34 lakh.,"Nov 11, 2016, 12:44 AM IST"
Line of Control villages send four boys to IITs,http://economictimes.indiatimes.com/industry/services/education/line-of-control-villages-send-four-boys-to-iits/articleshow/55397243.cms,"Four boys from two villages, barely 16km from the Line of Control in J&K's Poonch district, have made history by making it to IIT.","Nov 13, 2016, 11:33 AM IST"
Class X board exam for CBSE schools from 2017-18: Prakash Javadekar,http://economictimes.indiatimes.com/industry/services/education/class-x-board-exam-for-cbse-schools-from-2017-18-prakash-javadekar/articleshow/55421032.cms,He informed that enrolment in government school in Rajasthan has increased by 15 lakh where Utkarsh Adarsh schools have been opened at panchayat level.,"Nov 14, 2016, 10:12 PM IST"
"6.54 crore Indians never attended school, shows Census",http://economictimes.indiatimes.com/industry/services/education/6-54-crore-indians-never-attended-school-shows-census/articleshow/55156322.cms,There is 38.01 cr population in the age group of 5-19 years of which 26.98 cr (71%) is attending educational institutions. 6.54 cr(17.2%) have never been to a school.,"Oct 31, 2016, 07:06 PM IST"
BSE Institute sings MoU with New Zealand’s University of Otago,http://economictimes.indiatimes.com/industry/services/education/bse-institute-sings-mou-with-new-zealands-university-of-otago/articleshow/55069149.cms,"The offerings are the Master of Professional Accounting (MProfAcct), which is a professionally accredited accounting program aimed at graduates.","Oct 26, 2016, 04:17 PM IST"
